OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
1,5120000,Culture pérenne, , ,De plus de 1000 hectares,, ,En activité,3845,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,dfb37821-d7e1-4268-b932-933d00e79035, , ,38465491.1109314,47049.9439626572
2,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,737,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,1fd712c0-2d8a-460d-9b8a-5329bb28d048, ,Limites d'origine non détectables sur imagerie,7376779.3081665,14877.0964317874
3,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,815,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,194d5ef7-247a-4e2c-8371-e4d32e34d5c2, ,Limites d'origine non détectables sur imagerie,8162194.25524902,12970.5997123567
4,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,332,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,3d68838c-ebd3-454d-b18c-2259a0953c11, ,Limites d'origine non détectables sur imagerie,3320590.42324829,7310.40306151032
5,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,229,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,ed113935-8d42-4996-bb14-af80dfdc9b4c, ,Limites d'origine non détectables sur imagerie,2295803.85797119,7108.32312644329
6,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,138,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,7c988ea2-16d1-4471-91fa-99e6721acd80, ,Limites d'origine non détectables sur imagerie,1380677.27978516,4854.08019104176
7,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,147,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,ecb319c4-64d7-4675-9252-9297c9788651, , ,1473529.81335449,4925.05561392581
8,5120000,Culture pérenne, ,Café,De plus de 1000 hectares,, ,Abandonné,2514,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,c6c023b8-e26b-45ea-b70e-d9ac3cfed90d, ,Limites d'origine non détectables sur imagerie,25138314.0106964,27530.4422427852
9,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,399,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,7b218e9c-f77e-47c6-b84c-08d6fe4a91f8, ,Limites d'origine non détectables sur imagerie,3987357.62026596,9020.30938138851
10,5120000,Culture pérenne, , ,De 30 à 100 hectares,, ,Abandonné,53,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,776d1b00-a2ee-4156-8f8c-d761dfbf5add, , ,534065.049377441,3496.80074777851
11,5120000,Culture pérenne, ,N.I.,De 30 à 100 hectares,, ,Abandonné,49,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,596ee981-2162-4758-9ca9-c912eacf46ca, , ,493389.171512604,2928.96580936646
12,5120000,Culture pérenne, ,N.I.,De 30 à 100 hectares,, ,Abandonné,85,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,5e8443dd-39b1-4394-b284-c9fe6317cc06, , ,847983.392150879,4893.94058297363
13,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,102,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,cad07c05-b227-4392-8205-19b287fbc1bf, ,Limites d'origine non détectables sur imagerie,1016389.88320923,4215.02667307602
14,5120000,Culture pérenne, ,Hévéa,De 100 à 1000 hectares,, ,Abandonné,361,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,c83308bf-755a-4954-8607-2960562c7b58, , ,3611940.65777588,8317.33648119913
15,5120000,Culture pérenne, ,N.I.,De 30 à 100 hectares,, ,Abandonné,50,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,62f86289-88cb-4ff6-9ddd-2a000a87b434, , ,498204.053100586,3599.58442177982
16,5120000,Culture pérenne, ,N.I.,De 30 à 100 hectares,, ,Abandonné,34,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,7d8933af-27d0-4fff-b14d-87a3bc4b0334, , ,335959.381072998,2464.77873712788
17,5120100,Culture annuelle, , ,De plus de 1000 hectares,, ,En activité,1902,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,0556aa3a-03cb-4b6c-b550-9b5a911851a3, , ,19380333.3535156,29577.6444240645
18,5120100,Culture annuelle, , ,De plus de 1000 hectares,, ,En activité,2527,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,458442ca-86ad-4cbc-be68-a33227da4098, ,En extension 2017-2018-2019,25766270.9577637,24187.0245882416
19,5120100,Culture annuelle, , ,De plus de 1000 hectares,, ,En activité,1859,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,900b12ae-f59f-4e31-9c36-df24cafe11d0, , ,18922807.7131348,27897.3684274894
20,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,129,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,bfb2b93b-933d-41e9-ab0a-e0d9a6bc3da2, , ,1311439.46142578,4596.65887503078
21,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,141,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,79bf7564-41b6-4da8-8435-ff39af8c5235, , ,1410050.54931641,6042.64422472265
22,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,141,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,ce3a1794-d4f1-453b-993a-ed75f5f7100c, ,Limites d'origine non détectables sur imagerie,1413686.70916748,4791.08045082109
23,5120000,Culture pérenne, ,Cacao,De 100 à 1000 hectares,, ,Abandonné,453,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,39c948ff-b248-4874-aab0-2d5e792f248f, ,Limites d'origine non détectables sur imagerie,4530835.74249268,10096.5369381164
24,5120000,Culture pérenne, ,Hévéa,De plus de 1000 hectares,, ,Abandonné,1664,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,dd8cb394-8047-452a-8aa9-fe6850d81b58, ,Limites d'origine non détectables sur imagerie,16652354.2200317,31383.4376646036
25,5120000,Culture pérenne, ,N.I.,De plus de 1000 hectares,, ,Abandonné,2224,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,95337567-87fa-4b71-a258-76db330d2eb1, ,Limites d'origine non détectables sur imagerie,22241107.9451523,26385.3949966626
26,5120000,Culture pérenne, ,N.I.,De 30 à 100 hectares,, ,Abandonné,37,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,4182d3e8-8c2b-4871-9cdf-b496c5794fab, ,Limites d'origine non détectables sur imagerie,365804.466995239,2807.22905048242
27,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,132,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,6b84392b-5a78-43b0-a929-9bb1b832a54e, , ,1325002.71148682,4598.80279083768
28,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,754,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,51a69ecd-a6c9-4002-9fab-ffa90d936d22, , ,7550469.26452637,12543.1853364078
29,5120000,Culture pérenne, ,Café,De 100 à 1000 hectares,, ,Abandonné,104,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,2d838d48-2564-4c39-abde-1666892fabac, , ,1037440.587677,4154.35837957607
30,5120000,Culture pérenne, ,N.I.,De 30 à 100 hectares,, ,Abandonné,45,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,88e852ad-7c57-4395-ab8b-6589a3c8fe1f, , ,450979.159637451,2794.9710334435
31,5120000,Culture pérenne, ,Hévéa,De 100 à 1000 hectares,, ,Abandonné,201,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,7b9ee97a-51d4-4dd4-83f6-ee8334fa95e0, , ,2008601.79608154,7254.99998018182
32,5120100,Culture annuelle,Compagnie Sucrière de Kwilu-Ngongo,Canne à sucre,De plus de 1000 hectares,, ,En activité,15643,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,e3f07837-804a-4226-834c-190cdd99b6eb,Finasucre, ,157193117.812988,287391.437474842
33,5120100,Culture annuelle, , ,De plus de 1000 hectares,, ,En activité,1259,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,72ea90c2-28c8-4fb7-896e-694a527dbe12, , ,12827238.704834,33283.6713973273
34,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,239,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,f56aaadc-889a-4def-94ab-39a9c6e5cead, , ,2444994.45654297,7294.72452731761
35,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,328,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,b5451339-f3c5-482b-97d6-d1b2e4a5da5a, , ,3281625.71191406,10485.2584629248
36,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,465,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,e11b375e-be6b-4285-a0bd-f6f10cbbc541, , ,4726948.57177734,37856.7236806568
37,5120100,Culture annuelle, , ,De 100 à 1000 hectares,, ,En activité,124,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,5d5b7cde-ca3f-4a73-8c6e-d23dd01617a2, , ,1262637.78515625,7244.64724525585
38,5120100,Culture annuelle, , ,De plus de 1000 hectares,, ,En activité,6934,,USER,2019/11/19 10:13:35+00,USER,2019/11/19 10:14:37+00,aa91ef5c-e949-49ea-b45c-d6f7d66e5b2c, ,En extension,70761953.6079102,95397.0488388326
